number	area				
3	16.9				
1	11.3				
2	13				
0	5.7				
1	10.9				
2	14				
1	8.5				
0	4.7				
1	8.6				
2	12.6				
5	24.4				
1	10.4				
2	16.3				
2	9.4				
1	9.9				
2	12.9		
4	19.5		
2	13.7		
3	17.3		
0	4.7		
1	8.1		
1	8.2		
2	12.9		
0	4.2		
2	12.8		
2	11.3		
0	5.6		
1	7.3		
1	9.7		
3	16.9		
2	12.7		
4	24.8		
1	8.2		
1	12.2		
1	10.2		
0	3.9		
0	6.8		
5	29.3		
0	5.9		
1	11.4		
3	15.4		
1	9.5		
2	13.8		
0	6.1		
5	22.6		
1	7.8		
1	8.6		
1	8		
1	7.8		
3	19.4		
1.62	11.722		
1.338442592			
			
			
